ParticipantID,BlockNo,Techniques,Input devices,Screen size,TrialNo,Time
10,Block0,Optimalkeyboard,touch,mobilephone,Trial0,12
10,Block0,Optimalkeyboard,touch,mobilephone,Trial1,15
10,Block0,Optimalkeyboard,touch,mobilephone,Trial2,12
10,Block0,Optimalkeyboard,touch,mobilephone,Trial3,9
10,Block0,Optimalkeyboard,touch,mobilephone,Trial4,7
10,Block0,Optimalkeyboard,touch,tablet,Trial0,12
10,Block0,Optimalkeyboard,touch,tablet,Trial1,14
10,Block0,Optimalkeyboard,touch,tablet,Trial2,8
10,Block0,Optimalkeyboard,touch,tablet,Trial3,13
10,Block0,Optimalkeyboard,touch,tablet,Trial4,12
10,Block0,Optimalkeyboard,touch,watch,Trial0,6
10,Block0,Optimalkeyboard,touch,watch,Trial1,9
10,Block0,Optimalkeyboard,touch,watch,Trial2,11
10,Block0,Optimalkeyboard,touch,watch,Trial3,15
10,Block0,Optimalkeyboard,touch,watch,Trial4,10
10,Block0,Optimalkeyboard,stylus,mobilephone,Trial0,10
10,Block0,Optimalkeyboard,stylus,mobilephone,Trial1,8
10,Block0,Optimalkeyboard,stylus,mobilephone,Trial2,14
10,Block0,Optimalkeyboard,stylus,mobilephone,Trial3,6
10,Block0,Optimalkeyboard,stylus,mobilephone,Trial4,7
10,Block0,Optimalkeyboard,stylus,tablet,Trial0,14
10,Block0,Optimalkeyboard,stylus,tablet,Trial1,12
10,Block0,Optimalkeyboard,stylus,tablet,Trial2,11
10,Block0,Optimalkeyboard,stylus,tablet,Trial3,8
10,Block0,Optimalkeyboard,stylus,tablet,Trial4,8
10,Block0,Optimalkeyboard,stylus,watch,Trial0,14
10,Block0,Optimalkeyboard,stylus,watch,Trial1,14
10,Block0,Optimalkeyboard,stylus,watch,Trial2,9
10,Block0,Optimalkeyboard,stylus,watch,Trial3,13
10,Block0,Optimalkeyboard,stylus,watch,Trial4,10
10,Block0,Qwertykeyboard,touch,mobilephone,Trial0,15
10,Block0,Qwertykeyboard,touch,mobilephone,Trial1,10
10,Block0,Qwertykeyboard,touch,mobilephone,Trial2,14
10,Block0,Qwertykeyboard,touch,mobilephone,Trial3,6
10,Block0,Qwertykeyboard,touch,mobilephone,Trial4,13
10,Block0,Qwertykeyboard,touch,tablet,Trial0,7
10,Block0,Qwertykeyboard,touch,tablet,Trial1,10
10,Block0,Qwertykeyboard,touch,tablet,Trial2,14
10,Block0,Qwertykeyboard,touch,tablet,Trial3,10
10,Block0,Qwertykeyboard,touch,tablet,Trial4,7
10,Block0,Qwertykeyboard,touch,watch,Trial0,15
10,Block0,Qwertykeyboard,touch,watch,Trial1,6
10,Block0,Qwertykeyboard,touch,watch,Trial2,7
10,Block0,Qwertykeyboard,touch,watch,Trial3,14
10,Block0,Qwertykeyboard,touch,watch,Trial4,15
10,Block0,Qwertykeyboard,stylus,mobilephone,Trial0,13
10,Block0,Qwertykeyboard,stylus,mobilephone,Trial1,8
10,Block0,Qwertykeyboard,stylus,mobilephone,Trial2,14
10,Block0,Qwertykeyboard,stylus,mobilephone,Trial3,6
10,Block0,Qwertykeyboard,stylus,mobilephone,Trial4,15
10,Block0,Qwertykeyboard,stylus,tablet,Trial0,11
10,Block0,Qwertykeyboard,stylus,tablet,Trial1,15
10,Block0,Qwertykeyboard,stylus,tablet,Trial2,8
10,Block0,Qwertykeyboard,stylus,tablet,Trial3,12
10,Block0,Qwertykeyboard,stylus,tablet,Trial4,10
10,Block0,Qwertykeyboard,stylus,watch,Trial0,15
10,Block0,Qwertykeyboard,stylus,watch,Trial1,10
10,Block0,Qwertykeyboard,stylus,watch,Trial2,9
10,Block0,Qwertykeyboard,stylus,watch,Trial3,15
10,Block0,Qwertykeyboard,stylus,watch,Trial4,7
